Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Include Title,Include abstract,Exclude,accept�contents,rq�answers,,
"Automated Bangla sign language translation system: Prospects, limitations and applications",M. T. Hoque; M. Rifat-Ut-Tauwab; M. F. Kabir; F. Sarker; M. N. Huda; K. Abdullah-Al-Mamun,"Department of Computer Science and Engineering, United International University, Dhaka, Bangladesh; Department of Computer Science and Engineering, Ahsanullah University of Science and Technology, Dhaka, Bangladesh; Department of Computer Science and Engineering, United International University, Dhaka, Bangladesh; Department of Computer Science and Engineering, University of Liberal Arts Bangladesh, Dhaka, Bangladesh; Department of Computer Science and Engineering, United International University, Dhaka, Bangladesh; Department of Computer Science and Engineering, United International University, Dhaka, Bangladesh","2016 5th International Conference on Informatics, Electronics and Vision (ICIEV)",01-Dec-16,2016,,,856,862,"Deaf and Dumb people are a big part of growing community where they use sign language i.e., gestures for communicating with others. But interaction between normal and hearing impaired people becomes difficult as most of the normal people can't understand sign language gestures meaning and on the other hand deaf and dumb people can't understand naturally spoken language. There are about 70 million deaf hearing-impaired as well as hearing people in the world who use sign language as their first language or mother tongue. In Bangladesh alone, there are around 2.4 million people use sign language. Therefore, automatic sign language translation system is vital to improve communication for hearing impaired people. This paper represents a review on existing Bangla Sign Language translation systems to communicate with hearing impaired people and also proposes a real time bidirectional Bangla Sign Language translator. Analyzing the existing systems provides us necessary information about their working process, success rate, system drawbacks and limitations indicating the fields where those systems need to upgrade for a better performance. Based on the analysis to overcome the limitations, we propose a bidirectional communication system that includes conversion of naturally spoken Bangla Language to Bangla Sign Language and vice versa. Our proposal includes real time dynamic bidirectional Bangle Sign Language translation system which is preciously needed for a fruitful communication with hearing impaired people.",,978-1-5090-1269-5,10.1109/ICIEV.2016.7760123,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7760123,Bangla Sign Language;Bidirectional System;Static;Dynamic;Gesture Recognition;Real time Detection,Gesture recognition;Assistive technology;Real-time systems;Auditory system;Streaming media;Speech;Search engines,handicapped aids;language translation;natural language processing,Bangla sign language translation system;deaf people;dumb people;bidirectional communication system;hearing impaired people,,8,,23,IEEE,01-Dec-16,,,IEEE,IEEE Conferences,Yes ,No,Yes,No,,,
A method for hand tracking and motion recognizing in Chinese sign language,Zou Wei; Yuan Kui; Liu Jindong; Luo Bencheng,"Laboratory of Engineering Science for Complex System Institute of Automatic, Chinese Academy and Sciences, Beijing, China; Laboratory of Engineering Science for Complex System Institute of Automatic, Chinese Academy and Sciences, Beijing, China; Laboratory of Engineering Science for Complex System Institute of Automatic, Chinese Academy and Sciences, Beijing, China; Laboratory of Engineering Science for Complex System Institute of Automatic, Chinese Academy and Sciences, Beijing, China",2001 International Conferences on Info-Tech and Info-Net. Proceedings (Cat. No.01EX479),06-Aug-02,2001,3,,543,549 vol.3,"In this paper, a novel method of hand tracking is introduced, which can get the depth of hand by fusing the information sampled by devices of computer vision and bend-sensors fixed on the elbow. Based on this, a new coded representation is proposed to represent the movement trajectory, which can be used in the Chinese Sign Language recognition. Experiment results have shown that the method proposed in this paper is quite effective.",,0-7803-7010-4,10.1109/ICII.2001.983113,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=983113,,Tracking;Handicapped aids;Computer vision;Cameras;Elbow;Pattern recognition;Real time systems;Laboratories;Postal services;Trajectory,gesture recognition;computer vision;tracking;sensor fusion;angular measurement,hand tracking;motion recognition;Chinese sign language;hand depth;computer vision;bend-sensors;elbow;coded representation,,,,13,IEEE,06-Aug-02,,,IEEE,IEEE Conferences,Yes ,Yes,No,Yes,"""The basic idea of this method is to get the planar coordinates of hand using computer
vision, and get the depth information of hand using the bending sensors fixed on the elbow of the
user"" p.544.",,26
Real-Time Vision-Based Chinese Sign Language Recognition with Pose Estimation and Attention Network,S. Cheng; C. Huang; Z. Wang; J. Wang; Z. Zeng; F. Wang; Q. Ding,"School of Computer Science, Northeastern University, Shenyang, China; College of Information Science and Engineering, Northeastern University, Shenyang, China; Software College, Northeastern University, Shenyang, China; School of Computer Science, Northeastern University, Shenyang, China; Faculty of Robot Science and Engineering, Northeastern University, Shenyang, China; Faculty of Robot Science and Engineering, Northeastern University, Shenyang, China; Faculty of Robot Science and Engineering, Northeastern University, Shenyang, China",2021 IEEE International Conference on Robotics and Biomimetics (ROBIO),28-Mar-22,2021,,,1210,1215,"Currently, communication between deaf and hearing people is still facing great problems both at the research level and at the application level. Also, practical automatic sign language interpretation methods have become a relatively large demand. In this paper, we will recognize video sign language based on computer vision to capture skeletal key point information using multi-head attention mechanism and long and short-term memory mechanism. We construct a database of Chinese video sign language consisting of 30 words, with a total data volume of more than 1200. Meanwhile, the experiments of our proposed framework on this dataset achieved 85% accuracy rate. The experimental results show that our proposed method has the characteristics of high accuracy and light weight in the problem of Chinese sign language recognition.",,978-1-6654-0535-5,10.1109/ROBIO54168.2021.9739638,National Natural Science Foundation of China; Fundamental Research Funds for the Central Universities; Technology Development; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9739638,Chinese Sign Language Recognition;Pose Recognition;Multi-Head Attention;LSTM,Databases;Face recognition;Conferences;Pose estimation;Gesture recognition;Assistive technologies;Streaming media,computer vision;feature extraction;gesture recognition;handicapped aids;pose estimation;sign language recognition,time vision-based Chinese sign language recognition;pose estimation;attention network;deaf hearing people;great problems;research level;practical automatic sign language interpretation methods;relatively large demand;computer vision;skeletal key point information;multihead attention mechanism;short-term memory mechanism;Chinese video sign language,,,,14,IEEE,28-Mar-22,,,IEEE,IEEE Conferences,Yes ,No,Yes,No,,,
Using YOLOv5 Algorithm to Detect and Recognize American Sign Language,T. F. Dima; M. E. Ahmed,NA; NA,2021 International Conference on Information Technology (ICIT),26-Jul-21,2021,,,603,607,"Sign language is a system of communication using visual gestures and signs, and is generally used by people who have speech or hearing difficulties. To make those people included in the verbal communication community it's important to under-stand the gesture they're using to communicate. Often people who do not use the gesture in real life could not understand what the gesture represents. In this paper, we're proposing a solution to detect the alphabet and numbers that are each gesture providing. There are already some methods proposed that use deep learning for recognizing sign language. However, the effective uses of these models are limited. We are proposing a YOLOv5 based solution as it's lightweight, fast, and has good accuracy. We use a benchmark data set (MU_HandImages_ASL) to train and evaluate the model. We achieved 95% precision, 97% recall, 98% map@0.5, and 98% map@0.5:0.95 score which is adequate to recognize the gesture in real-time.",,978-1-6654-2870-5,10.1109/ICIT52682.2021.9491672,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9491672,American Sign Language(ASL);YOLOv5;Object Recognition;Computer Vision,Deep learning;Visualization;Assistive technology;Gesture recognition;Auditory system;Benchmark testing;Real-time systems,deep learning (artificial intelligence);handicapped aids;sign language recognition,verbal communication community;visual gestures;American sign language;YOLOv5 algorithm,,9,,30,IEEE,26-Jul-21,,,IEEE,IEEE Conferences,Yes ,No,Yes,No,,,
"On intelligent avatar communication using Korean, Chinese and Japanese sign-languages: an overview",Sang-Woon Kim; Zhe-Xue Li; Y. Aoki,"Department of Computer Science and Engineering, Myongji University, Yongin si, South Korea; Department of Computer Science and Engineering, Myongji University, Yongin si, South Korea; Graduate School of Engineering, Hokkaido University, Sapporo, Japan","ICARCV 2004 8th Control, Automation, Robotics and Vision Conference, 2004.",25-Jul-05,2004,1,,747,752 Vol. 1,"This paper gives an overview on an intelligent avatar communication system using Korean, Chinese and Japanese sign-languages to overcome the linguistic barrier between different languages. First of all, to achieve real-time communication, an intelligent communication method based on a client-server architecture and a sign-language translation method are considered. Also, to generate realistic gesture images, CG animation techniques and emotional expression methods are reviewed. Finally, to overcome the limitation based on different avatar models, a new communication message format using a FBML (facial body markup language) is investigated. Experimental results show a possibility that the methods could be used for intelligent sign-language communications between avatars of Korean, Japanese and Chinese on the Internet.",,0-7803-8653-1,10.1109/ICARCV.2004.1468921,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1468921,,Avatars;Natural languages;Character generation;Handicapped aids;Intelligent systems;Web and internet services;Facial animation;Computer science;Image generation;Markup languages,language translation;natural language interfaces;avatars;Internet;client-server systems;computer animation;realistic images,intelligent avatar communication;Korean;Chinese;Japanese;sign-language translation;real-time communication;client-server architecture;realistic gesture images;CG animation techniques;emotional expression methods;communication message format;facial body markup language;FBML;Internet,,3,5,13,IEEE,25-Jul-05,,,IEEE,IEEE Conferences,Yes ,Yes,No,Yes,"""Using
the FBML, we can 'define a standard document format that contains the messages to be transferred between different models. Also with the FBML, we can
synchronize easily and transmit the message comper
nents such as text messages, action units of FACS
(Facial Action Coding System) [11] and the joint angles of the arms gesture and the hands shape"" p.748.",,27
Real-time American Sign Language recognition from video using hidden Markov models,T. Starner; A. Pentland,"Perceptual Computing Section, The Media Laboratory, Massachusetts Institute of Technology, Cambridge, MA, USA; Perceptual Computing Section, The Media Laboratory, Massachusetts Institute of Technology, Cambridge, MA, USA",Proceedings of International Symposium on Computer Vision - ISCV,06-Aug-02,1995,,,265,270,"Hidden Markov models (HMMs) have been used prominently and successfully in speech recognition and, more recently, in handwriting recognition. Consequently, they seem ideal for visual recognition of complex, structured hand gestures such as are found in sign language. We describe a real-time HMM-based system for recognizing sentence level American Sign Language (ASL) which attains a word accuracy of 99.2% without explicitly modeling the fingers.",,0-8186-7190-4,10.1109/ISCV.1995.477012,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=477012,,Handicapped aids;Hidden Markov models;Real time systems;Fingers;Speech recognition;Shape;Natural languages;Face recognition;Laboratories;Handwriting recognition,hidden Markov models;handicapped aids;image recognition;real-time systems,American Sign Language recognition;hidden Markov models;visual recognition;hand gestures;sign language;American Sign Language;real-time;HMM-based system,,251,5,19,IEEE,06-Aug-02,,,IEEE,IEEE Conferences,Yes ,Yes,No,Yes,"""we describe an estensible system which
uses a single color camera to track hands in real time
and interprets American Sign Language (ASL) using
Hidden Markov Models (HMM)"" p.265.",,28
Video-based continuous sign language recognition using statistical methods,B. Bauer; H. Hienz; K. . -F. Kraiss,"Department of Technical Computer Science, Aachen, Germany; Department of Technical Computer Science, Aachen, Germany; Department of Technical Computer Science, Aachen, Germany",Proceedings 15th International Conference on Pattern Recognition. ICPR-2000,06-Aug-02,2000,2,,463,466 vol.2,"This paper deals with the development of a video-based recognition system of continuous sign language. The system aims for an automatic signer dependent recognition of sign language sentences, based on a lexicon of 97 signs of German Sign Language. The recognition system is based on hidden Markov models with one model for each sign. A single video camera is utilised for data acquisition. Beamsearch is employed for the recognition task. For a better result a language model is implemented, which is able to handle a-priori knowledge of the training corpus. Different results are given for a vocabulary of 52 respectively, 97 signs with different language models (Unigram and Bigram) employed. The system achieves all accuracy of 91.8% based on a lexicon of 97 signs without a language model and 93.2% with employed Bigrams.",1051-4651,0-7695-0750-6,10.1109/ICPR.2000.906112,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=906112,,Handicapped aids;Statistical analysis;Natural languages;Hidden Markov models;Cameras;Vocabulary;Deafness;Computer science;Data acquisition;Mouth,computer vision;handicapped aids;image segmentation;hidden Markov models;real-time systems,sign language recognition;statistical grammars;German Sign Language;hidden Markov models;image segmentation;real time systems;Bigram model,,36,,8,IEEE,06-Aug-02,,,IEEE,IEEE Conferences,Yes ,No,Yes,No,,,
Sign Language Translator Using Deep Learning Techniques,S. Krishnamurthi; I. M,"Department of Computer Science, BMSCE, Bangalore; Department of Computer Science, BMSCE, Bangalore","2021 Fourth International Conference on Electrical, Computer and Communication Technologies (ICECCT)",29-Nov-21,2021,,,1,5,"Sign language is mainly used by hearing impaired people for communication. And it has been an active research topic for the past 2 decades. Although sign language seems to be familiar in recent times, it's still quite a challenge for non-signers to communicate with signers leading to the widening of communication gap between them. Deep learning models are widely being used for motion and gesture recognition. With advancement in deep learning techniques and computer vision, this topic is gaining more attention. The main aim of the proposed model in this paper is to implement a sign language translator using deep learning techniques like Convolutional Neural Network (CNN) and help to bridge the gap between signers and non-signers. The model recognizes all the numbers[0-9], alphabets[a-z] and custom user-defined unigram symbols with better accuracy both in real time and for static sign image classification. A web application is built with the trained model to make it accessible to everyone. The front end of the web application is built with the help of a python library called gradio for simple and user friendly interface.",,978-1-6654-1480-7,10.1109/ICECCT52121.2021.9616795,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9616795,sign language recognition;pattern recognition;deep learning;neural networks;convolutional neural network,Deep learning;Webcams;Computational modeling;Neural networks;Gesture recognition;Assistive technologies;Libraries,computer vision;feature extraction;gesture recognition;handicapped aids;image classification;learning (artificial intelligence);neural nets;sign language recognition,deep learning models;deep learning techniques;sign language translator;signers;nonsigners;static sign image classification;communication gap,,1,,21,IEEE,29-Nov-21,,,IEEE,IEEE Conferences,Yes ,No,Yes,No,,,
Evaluating the translation of speech to virtually-performed sign language on AR glasses,L. T. Nguyen; F. Schicktanz; A. Stankowski; E. Avramidis,"Technische Universität, Berlin, Germany; Technische Universität, Berlin, Germany; German Research Center for Artificial Intelligence (DFKI), Berlin, Germany; German Research Center for Artificial Intelligence (DFKI), Berlin, Germany",2021 13th International Conference on Quality of Multimedia Experience (QoMEX),30-Jun-21,2021,,,141,144,"This paper describes the proof-of-concept evaluation for a system that provides translation of speech to virtually performed sign language on augmented reality (AR) glasses. The discovery phase via interviews confirmed the idea for a signing avatar displayed within the users field of vision through AR glasses. In the evaluation of the first prototype through a wizard-of-Oz-experiment, the presented AR solution received a high acceptance rate among deaf and hard-of-hearing persons. However, the machine learning based method used to generate sign language from video still lacks the required accuracy for fully preserving comprehensibility. Signed sentences with large recognisable arm movements were understood better than sentences relying mainly on finger movements, where only a small interaction space is visible.",2472-7814,978-1-6654-3589-5,10.1109/QoMEX51781.2021.9465430,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9465430,sign language translation;real-time translation;augmented reality;AR glasses;avatar;inclusion,Avatars;Assistive technology;Fingers;Prototypes;Glass;Gesture recognition;Machine learning,augmented reality;avatars;computer animation;gesture recognition;handicapped aids;learning (artificial intelligence);sign language recognition;wearable computers,sign language;AR glasses;proof-of-concept evaluation;augmented reality glasses;signing avatar;signed sentences;finger movements;small interaction space;hard-of-hearing persons,,1,,12,IEEE,30-Jun-21,,,IEEE,IEEE Conferences,Yes ,No,Yes,No,,,
An Optimum Approach to Indian Sign Language Recognition using Efficient Convolution Neural Networks,R. Kumar; N. Bhardwaj; N. S. Kumar,"School of Computing Science and Engineering, Galgotias University, Greater Noida, India; School of Computing Science and Engineering, Galgotias University, Greater Noida, India; School of Computing Science and Engineering, Galgotias University, Greater Noida, India","2022 4th International Conference on Advances in Computing, Communication Control and Networking (ICAC3N)",28-Mar-23,2022,,,1563,1567,"The most important component of every discussion is language, and sign language is the most formal mode of communication for persons who are deaf or mute. Communication, as we all know, is one of the most important components of modern life. The importance of communication is increasing in tandem with our maturation in life. The purpose of this project is to develop a system capable of recognizing all of these signs and serving as a bridge for signers and non-signers to communicate and interpret sign meanings. Technology is rapidly evolving, and now that we have powerful systems, a wealth of data, and a diverse set of sources, we can design a system to assist people with disabilities. We will develop a user-independent framework for automatically recognizing Indian Sign Language in this project, which will allow for feature extraction, recognition, and interpretation of a variety of one-handed, dynamic isolated signals. The two most important and fundamental aspects of SLR research are isolated sign recognition and continuous sign recognition. Hand form, hand position, and so on are the primary hand traits that can be used in sign language. The extra-clung functionality can be implemented in two ways. Either one is tracking-based or it is not. This essay focuses on one such approach that we devised to overcome significant communication barriers. The technique is divided into three stages: pre-processing, texture extraction, and recognition.",,978-1-6654-7436-8,10.1109/ICAC3N56670.2022.10074173,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10074173,Sign Language using Computer Vision Techniques;Feature extraction;Recognition;Indian Sign Language;CNN for Sign Language Recognition;Machine Learning approach for Sign Language Recognition,Convolution;Neural networks;Gesture recognition;Assistive technologies;Feature extraction;Real-time systems;Smart devices,,,,,,15,IEEE,28-Mar-23,,,IEEE,IEEE Conferences,Yes ,Yes,,,,,
Real-time American sign language recognition using desk and wearable computer based video,T. Starner; J. Weaver; A. Pentland,"The Media Laboratory, Massachusetts Institute of Technology, Cambridge, MA, USA; The Media Laboratory, Massachusetts Institute of Technology, Cambridge, MA, USA; The Media Laboratory, Massachusetts Institute of Technology, Cambridge, MA, USA",IEEE Transactions on Pattern Analysis and Machine Intelligence,06-Aug-02,1998,20,12,1371,1375,We present two real-time hidden Markov model-based systems for recognizing sentence-level continuous American sign language (ASL) using a single camera to track the user's unadorned hands. The first system observes the user from a desk mounted camera and achieves 92 percent word accuracy. The second system mounts the camera in a cap worn by the user and achieves 98 percent accuracy (97 percent with an unrestricted grammar). Both experiments use a 40-word lexicon.,1939-3539,,10.1109/34.735811,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=735811,,Handicapped aids;Wearable computers;Hidden Markov models;Cameras;Speech recognition;Face recognition;Computer vision;Computer Society;Real time systems;Pattern recognition,handicapped aids;computer vision;pattern recognition;motion estimation;hidden Markov models;real-time systems,American sign language recognition;real-time systems;hidden Markov model;computer vision;gesture recognition;motion analysis;pattern recognition,,765,42,23,IEEE,06-Aug-02,,,IEEE,IEEE Journals,Yes ,Yes,No,Yes,"""we describe two extensible systems which use one
color camera to track unadorned hands in real time and interpret
American Sign Language using hidden Markov models. "" p.1.",,29
Hand Gesture Recognition Using CAMSHIFT Algorithm,S. M. Nadgeri; S. D. Sawarkar; A. D. Gawande,"Department of Computer Engineering, MGMCET, Navi Mumbai, India; Department of Computer Engineering, DMCOE, Navi Mumbai, India; Department of IT, MGMCET, Navi Mumbai, India",2010 3rd International Conference on Emerging Trends in Engineering and Technology,31-Jan-11,2010,,,37,41,"Hand gesture is an active area of research in the computer vision, mainly for the purpose of sign language recognition and Human Computer Interaction. In this paper, an attempt is made to propose a system to recognize alphabet characters (A-Z) in real-time from color image sequences using “Continuous Adaptive Mean Shift Algorithm (CAMSHIFT)” tracking algorithm. The proposed system is based on three main stages: Skin color detection, hand tracking and hand gesture recognition. Various Experiments were performed and the results demonstrate that, the system can successfully recognize hand gestures using CAMSHIFT algorithm.",2157-0485,978-1-4244-8481-2,10.1109/ICETET.2010.63,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5698287,Hand gesture;Human machine interaction;Meanshift algorithm;Hand tracking;and CAMSHIFT algorithm,,computer vision;gesture recognition;human computer interaction;image colour analysis;image sequences;object detection,hand gesture recognition;CAMSHIFT algorithm;computer vision;sign language recognition;human computer interaction;alphabet characters recognition;color image sequences;continuous adaptive mean shift algorithm;skin color detection;hand tracking,,31,,15,IEEE,31-Jan-11,,,IEEE,IEEE Conferences,Yes ,Yes,No,Yes,"""we describe two extensible systems which use one
color camera to track unadorned hands in real time and interpret
American Sign Language using hidden Markov models. "" p.5.",,30
Real-Time Detection and Understanding of Isolated Protruded Fingers,S. Chandran; A. Sawa,"Computer Science & Engineering Department IIT Bombay & CfAR, University of Maryland, Mumbai, India; Computer Science & Engineering Department, IIT Bombay, Mumbai, India",2004 Conference on Computer Vision and Pattern Recognition Workshop,24-Jan-05,2004,,,152,152,"Making sense of hand gestures in applications such as novel user interfaces is an active area of research. Many current methods use complex 3D model of non-rigid hands and involved paradigms in solving the general problem. In this paper we look at a subproblem of sign language alphabet recognition where gestures are made with protruded fingers. In contrast to the more intricate schemes, we propose a simple, fast classification algorithm using two dimensional projection of Euler angles. Not only is our scheme novel, it lends itself to a real time implementation.",,,10.1109/CVPR.2004.426,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1384950,Projected Euler Angles;Gesture;Sign language;Fingers;Appearance-based,Fingers;Handicapped aids;Computer vision;Computer science;Application software;User interfaces;Video sequences;Pattern recognition;Data gloves;Cameras,,Projected Euler Angles;Gesture;Sign language;Fingers;Appearance-based,,,1,,IEEE,24-Jan-05,,,IEEE,IEEE Conferences,No,No,Yes,No,,,
Sign Language Recognition by Combining Statistical DTW and Independent Classification,J. F. Lichtenauer; E. A. Hendriks; M. J. T. Reinders,"Faculty of Electrical Engineering, Mathematics, and Computer Science, Information and Communication Theory Group, Delft University of Technnology, Delft, Netherlands; Faculty of Electrical Engineering, Mathematics, and Computer Science, Information and Communication Theory Group, Delft University of Technnology, Delft, Netherlands; Faculty of Electrical Engineering, Mathematics, and Computer Science, Information and Communication Theory Group, Delft University of Technnology, Delft, Netherlands",IEEE Transactions on Pattern Analysis and Machine Intelligence,19-Sep-08,2008,30,11,2040,2046,"To recognize speech, handwriting, or sign language, many hybrid approaches have been proposed that combine dynamic time warping (DTW) or hidden Markov models (HMMs) with discriminative classifiers. However, all methods rely directly on the likelihood models of DTW/HMM. We hypothesize that time warping and classification should be separated because of conflicting likelihood modeling demands. To overcome these restrictions, we propose using statistical DTW (SDTW) only for time warping, while classifying the warped features with a different method. Two novel statistical classifiers are proposed - combined discriminative feature detectors (CDFDs) and quadratic classification on DF Fisher mapping (Q-DFFM) - both using a selection of discriminative features (DFs), and are shown to outperform HMM and SDTW. However, we have found that combining likelihoods of multiple models in a second classification stage degrades performance of the proposed classifiers, while improving performance with HMM and SDTW. A proof-of-concept experiment, combining DFFM mappings of multiple SDTW models with SDTW likelihoods, shows that, also for model-combining, hybrid classification can provide significant improvement over SDTW. Although recognition is mainly based on 3D hand motion features, these results can be expected to generalize to recognition with more detailed measurements such as hand/body pose and facial expression.",1939-3539,,10.1109/TPAMI.2008.123,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4527247,Time series analysis;Face and gesture recognition;Markov processes;Classifier design and evaluation;Real-time systems;3D/stereo scene analysis;Vision and Scene Understanding;Artificial Intelligence;Computing Methodology;Time series analysis;Face and gesture recognition;Markov processes;Classifier design and evaluation;Real-time systems;3D/stereo scene analysis;Vision and Scene Understanding;Artificial Intelligence;Computing Methodology,Handicapped aids;Hidden Markov models;Handwriting recognition;Speech recognition;Face recognition;Shape;Distortion;Computer vision;Detectors;Degradation,feature extraction;gesture recognition;image classification;image motion analysis;statistical analysis,sign language recognition;statistical DTW;independent classification;dynamic time warping;statistical classifier;combined discriminative feature detector;quadratic classification on DF Fisher mapping;discriminative feature selection;hand motion feature;gesture recognition,"Algorithms;Artificial Intelligence;Data Interpretation, Statistical;Image Enhancement;Image Interpretation, Computer-Assisted;Information Storage and Retrieval;Pattern Recognition, Automated",139,,26,IEEE,23-May-08,,,IEEE,IEEE Journals,Yes ,No,Yes,No,,,
Hand Gesture Recognition for Deaf People Interfacing,I. G. Incertis; J. G. Garcia-Bermejo; E. Z. Casanova,"CARTIF Foundation, Spain; University of Valladolid, Spain; University of Valladolid, Spain",18th International Conference on Pattern Recognition (ICPR'06),18-Sep-06,2006,2,,100,103,"In this paper, an approach for deaf-people interfacing using computer vision is presented. The recognition of alphabetic static signs of the Spanish Sign Language is addressed. The proposed approach combines a number of norms to evaluate the distance of the current sign, to the sign models stored in a database (a dictionary). This solution leads to a largely selective criterion. The method is simple enough to provide real-time recognition, and works suitably for most letters.",1051-4651,0-7695-2521-0,10.1109/ICPR.2006.619,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1699157,,Deafness;Handicapped aids;Pattern recognition;Dictionaries;Fingers;Histograms;Computer vision;Databases;Man machine systems;Graphics,computer vision;gesture recognition;handicapped aids;human computer interaction,hand gesture recognition;deaf people interfacing;computer vision;alphabetic static signs;Spanish sign language;dictionary;real-time recognition,,17,,17,IEEE,18-Sep-06,,,IEEE,IEEE Conferences,Yes ,No,Yes,No,,,
Extraction of 3D hand shape and posture from image sequences for sign language recognition,H. Fillbrandt; S. Akyol; K. . -F. Kraiss,"Chair of Technical Computer Science, RWTH Aachen University of Technology, Germany; Chair of Technical Computer Science, RWTH Aachen University of Technology, Germany; Chair of Technical Computer Science, RWTH Aachen University of Technology, Germany",2003 IEEE International SOI Conference. Proceedings (Cat. No.03CH37443),27-Oct-03,2003,,,181,186,"We propose a novel method for extracting natural hand parameters from monocular image sequences. The purpose is to improve a vision-based sign language recognition system by providing detail information about the finger constellation and the 3D hand posture. Therefore, the hand is modelled by a set of 2D appearance models, each representing a limited variation range of 3D hand shape and posture. The single models are linked to each other according to the natural neighbourhood of the corresponding hand status. During an image sequence, necessary model transitions are executed towards one of the current neighbour models. The natural hand parameters are calculated from the shape and texture parameters of the current model, using a relation estimated by linear regression. The method is robust against large differences between subsequent frames and also against poor image quality. It can be implemented in real-time and offers good properties to handle occlusion and partly missing image information.",,0-7695-2010-3,10.1109/AMFG.2003.1240841,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1240841,,Shape;Image sequences;Handicapped aids;Image recognition;Data mining;Fingers;Linear regression;Robustness;Image quality,image sequences;image texture;gesture recognition;feature extraction;regression analysis;computer vision;hidden feature removal,3D hand shape extraction;3D hand posture;monocular image sequences;vision-based sign language recognition system;finger constellation;2D appearance model transitions;natural hand parameters;linear regression;image quality;occlusion handling;image information,,24,,16,IEEE,27-Oct-03,,,IEEE,IEEE Conferences,Yes ,Yes,No,Yes,"""The method presented in this paper has been tested with several specially recorded images sequences of a single hand the deforms,rotates and moves in 3D space ,covering all the appearances of the hand that are included in the used model""",,31
A framework for the integration of gesture and posture recognition using HMM and SVM,O. Rashid; A. Al-Hamadi; B. Michaelis,"Institute for Electronics, Signal Processing and Communications IESK, Otto von Guericke University Magdeburg, Magdeburg, Germany; Institute for Electronics, Signal Processing and Communications IESK, Otto von Guericke University Magdeburg, Magdeburg, Germany; Institute for Electronics, Signal Processing and Communications IESK, Otto von Guericke University Magdeburg, Magdeburg, Germany",2009 IEEE International Conference on Intelligent Computing and Intelligent Systems,28-Dec-09,2009,4,,572,577,"For a successful real-time vision-based HCI system, inference from natural visual method is crucial. In this paper, we have aimed to provide interaction through gesture and posture recognition for alphabets and numbers. In addition, data fusion is carried out which integrates these systems to extract multiple meanings at the same time. 3D information is exploited for segmentation and detection of face and hands using normal Gaussian distribution and depth information. For gesture, orientation of two consecutive hand centroid points is computed which is then quantized to generate code words. HMM is trained by Baum Welch algorithm and classified by Viterbi path algorithm. In posture recognition, American Sign Language is recognized for static alphabets and numbers. Feature vectors are computed from statistical and geometrical properties of the hand and are used to train SVM for classification and recognition. Moreover, curvature analysis is carried out for alphabets to avoid misclassifications. Experimental results of the proposed framework successfully integrate both gesture and posture recognition system at decision level fusion whereas the gesture system achieves recognition rate of 98% (i.e. for alphabets and numbers) and the posture recognition system with recognition rates of 98.65% and 98.6% for ASL alphabets and numbers respectively.",,978-1-4244-4754-1,10.1109/ICICISYS.2009.5357615,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5357615,Integration;Gesture Recognition;Posture Recognition;Feature Extraction;Application,Hidden Markov models;Support vector machines;Face detection;Real time systems;Human computer interaction;Data mining;Gaussian distribution;Viterbi algorithm;Handicapped aids;Support vector machine classification,face recognition;feature extraction;Gaussian distribution;gesture recognition;hidden Markov models;human computer interaction;normal distribution;sensor fusion;support vector machines,gesture recognition;posture recognition;hidden Markov model;support vector machine;real-time vision-based HCI system;human computer interaction;data fusion;face detection;face segmentation;normal Gaussian distribution;Baum Welch algorithm;Viterbi path algorithm;American Sign Language,,25,,13,IEEE,28-Dec-09,,,IEEE,IEEE Conferences,Yes ,No,Yes,No,,,
